Horizon,Num_Steps,Time_Mean,Time_Std,Volume_Mean,Volume_Std,Speedup_vs_Concrete,Slowdown_vs_SingleSymbolic
2,1,0.05197293758392334,0.00031737874420617915,0.0038496547,2.3283064e-10,0.5573325969091286,1.002827824282026
3,1,0.12366228103637696,0.0007343898073198709,0.003717497,0.0,0.30301370486306317,1.00261247411447
3,2,0.03746323585510254,8.367009860321262e-05,0.004568585,4.656613e-10,1.0002170147175433,0.30373940440229436
4,1,0.2275322675704956,0.0002986840217879981,0.0027545558,0.0,0.22000126789261054,0.999780838840386
4,2,0.10451560020446778,0.0001377132130208332,0.0036743737,0.0,0.4789465616047806,0.45924341000097746
4,3,0.050082278251647946,0.00010319840443429658,0.0043585305,0.0,0.9995029998528994,0.2200624232163325
5,1,0.3790364980697632,0.038759039346700476,0.0022055656,0.0,0.1652876727511226,1.0423434361501054
5,2,0.11803510189056396,0.00039172820392366364,0.0039401567,0.0,0.5307748258799524,0.3245943710367794
5,3,0.09088246822357178,0.00031803694504334176,0.004280623,0.0,0.6893525437663813,0.2499251251432916
6,1,0.5472425699234009,0.0395101265620911,0.0015289749,1.1641532e-10,0.13859833763901275,1.0272209547370166
6,2,0.25094940662384035,0.0006087358932749116,0.0027303605,0.0,0.30223984785257935,0.47105342901030406
6,3,0.15914723873138428,0.0005467000971130976,0.003277979,2.3283064e-10,0.47658326390885314,0.2987329339826307
6,5,0.07577254772186279,0.00018185110294943917,0.004319503,0.0,1.0009813944107402,0.14223153148448017
7,1,0.7529666185379028,0.03976228311167246,0.001202029,1.1641532e-10,0.11692739617099253,1.026299033186336
7,2,0.2654475450515747,0.000753492760784351,0.0027542391,0.0,0.3316754204383691,0.3618069541742958
7,3,0.17218477725982667,0.0003622920277043735,0.0032884837,2.3283064e-10,0.5113252606324079,0.23468911646349344
7,5,0.11664237976074218,0.0002680562934160585,0.004423463,4.656613e-10,0.7548064973460532,0.15898442059683046
8,1,0.9844828844070435,0.04061171721260834,0.001654819,1.1641532e-10,0.10265797140162411,1.0037111752057248
8,2,0.464720630645752,0.0008397175004938362,0.0025819927,2.3283064e-10,0.21747477759360911,0.47379725713437315
