Horizon,Num_Steps,Time_Mean,Time_Std,Volume_Mean,Volume_Std,Speedup_vs_Concrete,Slowdown_vs_SingleSymbolic
2,1,0.017096328735351562,6.241922253457462e-05,0.3606698,0.0,1.0770145815204053,0.9559710864447045
3,1,0.03359856605529785,4.964779396708349e-05,0.41580692,0.0,0.548880023502263,0.9998077328295129
3,2,0.01842992305755615,9.520911248106534e-05,0.46213564,0.0,1.000632594530192,0.548427559618786
4,1,0.05537328720092773,6.162206648469358e-05,0.41677848,0.0,0.44290909372734144,0.9972579447037455
4,2,0.03403537273406983,0.00018268969046743563,0.49799356,2.9802322e-08,0.7205836305214468,0.612967869088973
4,3,0.024214887619018556,0.00011183093026240299,0.55222374,0.0,1.0128204118364075,0.436103584938877
5,1,0.08267507553100586,0.0003979945014195817,0.34565666,0.0,0.3686753888230741,0.9910272531894463
5,2,0.040378260612487796,0.0002862492432313912,0.5609673,5.9604645e-08,0.7548682175760678,0.48401475833371443
5,3,0.035363411903381346,0.00017103699040672734,0.5651578,5.9604645e-08,0.86191529540893,0.42390169875165756
6,1,0.1159043550491333,0.000457005238197361,0.24468522,1.4901161e-08,0.3141701915566791,0.9934774052183211
6,2,0.06678032875061035,0.0003128696257498937,0.43408147,0.0,0.5452757437601974,0.5724094465532245
6,3,0.051728463172912596,0.0011449259021095947,0.53531,5.9604645e-08,0.7039392086001008,0.44339196182206764
6,5,0.03931527137756348,0.0009799996195823894,0.6868816,0.0,0.9261971786571513,0.33699194285735307
8,1,0.1991799831390381,0.0007583093532096683,0.19914052,1.4901161e-08,0.2446063746990441,0.9960730403057058
8,2,0.1112027645111084,0.0005792644881887617,0.3421976,0.0,0.4381248416120983,0.5561104785296554
8,3,0.06868925094604492,0.0001617098930952898,0.5531775,5.9604645e-08,0.7092913799063948,0.3435059585198786
8,5,0.06451318264007569,0.0001907941740922176,0.58134496,0.0,0.7552052401456236,0.32262198720661966
10,1,0.3056817054748535,0.00040081945611853233,0.21374473,0.0,0.20162511835847136,0.961658888246594
10,2,0.16700389385223388,0.000757165753986397,0.2820232,0.0,0.36905193420771426,0.525385641398821
10,3,0.10748701095581055,0.0009001923269695682,0.48874965,2.9802322e-08,0.5734005392681817,0.3381485957628481
10,5,0.08580479621887208,0.0002900437067145001,0.6228188,0.0,0.7182944632741988,0.2699374658679207
