Horizon,Method,Trial,Time,Volume,Num_Steps
2,Concrete,0,0.05602407455444336,0.37149966,
2,Concrete,1,0.015270471572875977,0.37149966,
2,Concrete,2,0.015233516693115234,0.37149966,
2,Concrete,3,0.015196800231933594,0.37149966,
2,Concrete,4,0.01522684097290039,0.37149966,
2,Concrete,5,0.01512002944946289,0.37149966,
2,Concrete,6,0.01459503173828125,0.37149966,
2,Concrete,7,0.012616634368896484,0.37149966,
2,Concrete,8,0.012430429458618164,0.37149966,
2,Concrete,9,0.01241612434387207,0.37149966,
3,Concrete,0,0.018589496612548828,0.46213564,
3,Concrete,1,0.018568992614746094,0.46213564,
3,Concrete,2,0.018522024154663086,0.46213564,
3,Concrete,3,0.0184175968170166,0.46213564,
3,Concrete,4,0.01832890510559082,0.46213564,
3,Concrete,5,0.018505334854125977,0.46213564,
3,Concrete,6,0.01839470863342285,0.46213564,
3,Concrete,7,0.01837754249572754,0.46213564,
3,Concrete,8,0.018336057662963867,0.46213564,
3,Concrete,9,0.018375158309936523,0.46213564,
4,Concrete,0,0.024639368057250977,0.55222374,
4,Concrete,1,0.02438950538635254,0.55222374,
4,Concrete,2,0.024454832077026367,0.55222374,
4,Concrete,3,0.024581193923950195,0.55222374,
4,Concrete,4,0.02451610565185547,0.55222374,
4,Concrete,5,0.024500370025634766,0.55222374,
4,Concrete,6,0.024498462677001953,0.55222374,
4,Concrete,7,0.024536609649658203,0.55222374,
4,Concrete,8,0.02454996109008789,0.55222374,
4,Concrete,9,0.024586915969848633,0.55222374,
5,Concrete,0,0.030321836471557617,0.62656647,
5,Concrete,1,0.03024578094482422,0.62656647,
5,Concrete,2,0.030419111251831055,0.62656647,
5,Concrete,3,0.030390262603759766,0.62656647,
5,Concrete,4,0.0303652286529541,0.62656647,
5,Concrete,5,0.031171560287475586,0.62656647,
5,Concrete,6,0.03044724464416504,0.62656647,
5,Concrete,7,0.030410051345825195,0.62656647,
5,Concrete,8,0.03049778938293457,0.62656647,
5,Concrete,9,0.030533790588378906,0.62656647,
6,Concrete,0,0.03661537170410156,0.6868816,
6,Concrete,1,0.03645896911621094,0.6868816,
6,Concrete,2,0.03644752502441406,0.6868816,
6,Concrete,3,0.03642416000366211,0.6868816,
6,Concrete,4,0.03635382652282715,0.6868816,
6,Concrete,5,0.03637099266052246,0.6868816,
6,Concrete,6,0.036366939544677734,0.6868816,
6,Concrete,7,0.03633618354797363,0.6868816,
6,Concrete,8,0.03638720512390137,0.6868816,
