Horizon,Concrete_Time_Mean,Concrete_Time_Std,Concrete_Volume_Mean,Concrete_Volume_Std,Symbolic_Time_Mean,Symbolic_Time_Std,Symbolic_Volume_Mean,Symbolic_Volume_Std,Speedup
2,0.01841299533843994,0.012593034334857917,0.37149963,2.9802322e-08,0.017883729934692384,0.0014010132431117165,0.3606698,0.0,1.0295947996128505
3,0.01844158172607422,9.152300173043493e-05,0.46213564,0.0,0.03360502719879151,0.0002533407382116189,0.41580692,0.0,0.5487744918932073
4,0.0245253324508667,6.745400951634631e-05,0.55222374,0.0,0.05552554130554199,0.0009178353005500361,0.41677848,0.0,0.4416946125011271
5,0.030480265617370605,0.00024335930480764254,0.62656647,0.0,0.08342361450195312,0.0011635981076455748,0.34565666,0.0,0.3653673579038822
6,0.03641369342803955,7.72785526612927e-05,0.6868816,0.0,0.11666531562805176,0.00211753290346522,0.24468522,1.4901161e-08,0.3121209867046724
8,0.048720693588256835,0.00015201585056482696,0.79237515,0.0,0.199965238571167,0.0015562061578827454,0.19914052,1.4901161e-08,0.2436458153246335
10,0.06163311004638672,0.00022191224701409809,0.9611882,5.9604645e-08,0.31786916255950926,0.03299814059793849,0.21374473,0.0,0.19389458716319546
