timestep,concrete_volume,sampled_volume,steps_from_origin,conservativeness_ratio,excess_volume,efficiency_pct,ratio_growth
4,0.028192,0.027656,1,1.0193809661556261,0.0005359999999999983,98.09875141884223,
5,0.027634,0.02447,2,1.1293011851246424,0.003164,88.55033654194109,10.78303623654624
6,0.027902,0.020709,3,1.3473369066589405,0.007192999999999998,74.22048598666763,19.307136520027047
7,0.029327,0.017043,4,1.720765123511119,0.012284,58.11368363623964,27.716023735903406
8,0.031656,0.01377,5,2.2989106753812636,0.017886,43.49886277482942,33.59816769708075
9,0.034721,0.0117,6,2.9676068376068376,0.023021,33.69718614095216,29.087522598705306
10,0.037871,0.012018,7,3.151189881843901,0.025853,31.734044519553215,6.186232013978987
11,0.041079,0.011525,8,3.564338394793926,0.029553999999999997,28.055697558363157,13.11087330314329
12,0.044518,0.010618,9,4.1926916556790355,0.0339,23.851026551058,17.6288890472039
