Horizon,Concrete_Time_Mean,Concrete_Time_Std,Concrete_Volume_Mean,Concrete_Volume_Std,Symbolic_Time_Mean,Symbolic_Time_Std,Symbolic_Volume_Mean,Symbolic_Volume_Std,Speedup
2,0.016793107986450194,0.012148893331508469,0.37149963,2.9802322e-08,0.018496179580688478,0.00022520260249854886,0.3606698,0.0,0.9079230612565835
3,0.019489574432373046,0.0005790594772646028,0.46213564,0.0,0.035176658630371095,0.0017017564866443383,0.41580692,0.0,0.5540484853085502
4,0.024565291404724122,0.0003980381726541992,0.55222374,0.0,0.05725774765014648,0.0012318288591855716,0.41677848,0.0,0.4290299987841257
5,0.030725860595703126,0.00016983802999415227,0.62656647,0.0,0.08316531181335449,0.0005307471455912686,0.34565666,0.0,0.36945524432903337
6,0.03693079948425293,0.00029230936499451387,0.6868816,0.0,0.11693949699401855,0.0012852951484223403,0.24468522,1.4901161e-08,0.3158111710207026
8,0.04928069114685059,5.11837325461188e-05,0.79237515,0.0,0.20184972286224365,0.0022386314241870453,0.19914052,1.4901161e-08,0.2441454486439061
10,0.06136977672576904,0.00015143856623441978,0.9611882,5.9604645e-08,0.3184483051300049,0.033044103222049606,0.21374473,0.0,0.19271503643492513
