Horizon,Method,Trial,Time,Volume,Num_Steps
2,Concrete,0,0.053000688552856445,0.37149966,
2,Concrete,1,0.01268315315246582,0.37149966,
2,Concrete,2,0.012697935104370117,0.37149966,
2,Concrete,3,0.01267242431640625,0.37149966,
2,Concrete,4,0.012651443481445312,0.37149966,
2,Concrete,5,0.012675762176513672,0.37149966,
2,Concrete,6,0.012587785720825195,0.37149966,
2,Concrete,7,0.012604475021362305,0.37149966,
2,Concrete,8,0.012596607208251953,0.37149966,
2,Concrete,9,0.012617826461791992,0.37149966,
3,Concrete,0,0.018991947174072266,0.46213564,
3,Concrete,1,0.018947839736938477,0.46213564,
3,Concrete,2,0.018945932388305664,0.46213564,
3,Concrete,3,0.0189511775970459,0.46213564,
3,Concrete,4,0.018946170806884766,0.46213564,
3,Concrete,5,0.01896047592163086,0.46213564,
3,Concrete,6,0.018947601318359375,0.46213564,
3,Concrete,7,0.018956899642944336,0.46213564,
3,Concrete,8,0.01895594596862793,0.46213564,
3,Concrete,9,0.018939971923828125,0.46213564,
4,Concrete,0,0.025391817092895508,0.55222374,
4,Concrete,1,0.025269031524658203,0.55222374,
4,Concrete,2,0.025269269943237305,0.55222374,
4,Concrete,3,0.02525186538696289,0.55222374,
4,Concrete,4,0.025224924087524414,0.55222374,
4,Concrete,5,0.025246143341064453,0.55222374,
4,Concrete,6,0.025232791900634766,0.55222374,
4,Concrete,7,0.02524423599243164,0.55222374,
4,Concrete,8,0.02532649040222168,0.55222374,
4,Concrete,9,0.02522587776184082,0.55222374,
5,Concrete,0,0.03180980682373047,0.62656647,
5,Concrete,1,0.03154587745666504,0.62656647,
5,Concrete,2,0.03154802322387695,0.62656647,
5,Concrete,3,0.03152942657470703,0.62656647,
5,Concrete,4,0.03159379959106445,0.62656647,
5,Concrete,5,0.031565189361572266,0.62656647,
5,Concrete,6,0.03142666816711426,0.62656647,
5,Concrete,7,0.031774044036865234,0.62656647,
5,Concrete,8,0.03156590461730957,0.62656647,
5,Concrete,9,0.031533002853393555,0.62656647,
6,Concrete,0,0.03800654411315918,0.6868816,
6,Concrete,1,0.0379486083984375,0.6868816,
6,Concrete,2,0.03792452812194824,0.6868816,
6,Concrete,3,0.037972450256347656,0.6868816,
6,Concrete,4,0.03795051574707031,0.6868816,
6,Concrete,5,0.03804636001586914,0.6868816,
6,Concrete,6,0.03797125816345215,0.6868816,
6,Concrete,7,0.03794407844543457,0.6868816,
6,Concrete,8,0.037978172302246094,0.6868816,
6,Concrete,9,0.0379793643951416,0.6868816,
7,Concrete,0,0.04435563087463379,0.7391953,
7,Concrete,1,0.04430270195007324,0.7391953,
