Horizon,Concrete_Time_Mean,Concrete_Time_Std,Concrete_Volume_Mean,Concrete_Volume_Std,Symbolic_Time_Mean,Symbolic_Time_Std,Symbolic_Volume_Mean,Symbolic_Volume_Std,Speedup
2,0.01939413547515869,0.012220736181445162,0.37149963,2.9802322e-08,0.020079708099365233,0.0006348962510426269,0.3606697916984558,0.0,0.9658574407150762
3,0.019188737869262694,7.344903707178914e-05,0.46213564,0.0,0.03545060157775879,0.0003495294464664832,0.41580691933631897,0.0,0.541281022472167
4,0.025633955001831056,9.572470024773055e-05,0.55222374,0.0,0.05925211906433105,0.0009787950535348508,0.41677847504615784,0.0,0.4326251179978867
5,0.03213071823120117,0.00021478341002689194,0.62656647,0.0,0.08880200386047363,0.001457184253251891,0.3456566631793976,0.0,0.3618242475888855
6,0.037272858619689944,0.00018400200175486,0.6868816,0.0,0.12105846405029297,0.003466875136038383,0.24468521773815155,1.4901161193847656e-08,0.3078913887772868
7,0.04611639976501465,0.0015821870105169691,0.7391953,0.0,0.16598517894744874,0.00302878366271846,0.18005415797233582,0.0,0.2778344431560073
8,0.05193595886230469,0.00023890887867805368,0.79237515,0.0,0.21250386238098146,0.0017110673250550314,0.1991405189037323,1.4901161193847656e-08,0.244400070099398
9,0.05883800983428955,0.0006060633225017541,0.8635889,5.9604645e-08,0.2655459403991699,0.002628172748326978,0.2117113620042801,1.4901161193847656e-08,0.22157375008574404
10,0.06452033519744874,0.00015114246597189388,0.9611882,5.9604645e-08,0.32415988445281985,0.001550720532233407,0.21374472975730896,0.0,0.1990386173364996
11,0.0748138427734375,0.007992362161867588,1.0757,1.1920929e-07,,,,,
12,0.07765860557556152,0.001391920592143021,1.2254318,1.1920929e-07,,,,,
13,0.08748395442962646,0.0019721127438456776,1.4218729,1.1920929e-07,,,,,
14,0.09085240364074706,0.0006021591711593949,1.6918312,0.0,,,,,
15,0.09640140533447265,0.00018435898506125799,2.0641313,0.0,,,,,
16,0.10306603908538818,0.00016272360760637147,2.5785747,0.0,,,,,
17,0.11153144836425781,0.001871323156448498,3.290559,0.0,,,,,
18,0.12230794429779053,0.00200008697752562,4.26247,0.0,,,,,
19,0.12607216835021973,0.0029086603489299444,5.509429,4.7683716e-07,,,,,
