Horizon,Method,Trial,Time,Volume,Num_Steps
2,Concrete,0,0.05605602264404297,0.37149966,
2,Concrete,1,0.015354394912719727,0.37149966,
2,Concrete,2,0.015299320220947266,0.37149966,
2,Concrete,3,0.015288352966308594,0.37149966,
2,Concrete,4,0.015352964401245117,0.37149966,
2,Concrete,5,0.01531982421875,0.37149966,
2,Concrete,6,0.01524662971496582,0.37149966,
2,Concrete,7,0.015261173248291016,0.37149966,
2,Concrete,8,0.01532602310180664,0.37149966,
2,Concrete,9,0.015436649322509766,0.37149966,
3,Concrete,0,0.01937246322631836,0.46213564,
3,Concrete,1,0.019252538681030273,0.46213564,
3,Concrete,2,0.01920604705810547,0.46213564,
3,Concrete,3,0.019179821014404297,0.46213564,
3,Concrete,4,0.019178390502929688,0.46213564,
3,Concrete,5,0.01916956901550293,0.46213564,
3,Concrete,6,0.01912999153137207,0.46213564,
3,Concrete,7,0.019173145294189453,0.46213564,
3,Concrete,8,0.019115209579467773,0.46213564,
3,Concrete,9,0.01911020278930664,0.46213564,
4,Concrete,0,0.02580094337463379,0.55222374,
4,Concrete,1,0.02556467056274414,0.55222374,
4,Concrete,2,0.02568960189819336,0.55222374,
4,Concrete,3,0.02556443214416504,0.55222374,
4,Concrete,4,0.025530099868774414,0.55222374,
4,Concrete,5,0.0255434513092041,0.55222374,
4,Concrete,6,0.025601863861083984,0.55222374,
4,Concrete,7,0.0256502628326416,0.55222374,
4,Concrete,8,0.02559041976928711,0.55222374,
4,Concrete,9,0.025803804397583008,0.55222374,
5,Concrete,0,0.03204083442687988,0.62656647,
5,Concrete,1,0.032044172286987305,0.62656647,
5,Concrete,2,0.03204822540283203,0.62656647,
5,Concrete,3,0.03188014030456543,0.62656647,
5,Concrete,4,0.03185009956359863,0.62656647,
5,Concrete,5,0.03194260597229004,0.62656647,
5,Concrete,6,0.032305240631103516,0.62656647,
5,Concrete,7,0.03229832649230957,0.62656647,
5,Concrete,8,0.032472848892211914,0.62656647,
5,Concrete,9,0.0324246883392334,0.62656647,
6,Concrete,0,0.03707599639892578,0.6868816,
6,Concrete,1,0.03717517852783203,0.6868816,
6,Concrete,2,0.03713107109069824,0.6868816,
6,Concrete,3,0.03693079948425293,0.6868816,
6,Concrete,4,0.03747367858886719,0.6868816,
6,Concrete,5,0.03730416297912598,0.6868816,
6,Concrete,6,0.03725552558898926,0.6868816,
6,Concrete,7,0.03744792938232422,0.6868816,
6,Concrete,8,0.0374150276184082,0.6868816,
6,Concrete,9,0.037519216537475586,0.6868816,
7,Concrete,0,0.04548215866088867,0.7391953,
7,Concrete,1,0.04986739158630371,0.7391953,
7,Concrete,2,0.04535102844238281,0.7391953,
7,Concrete,3,0.048555612564086914,0.7391953,
7,Concrete,4,0.04526495933532715,0.7391953,
7,Concrete,5,0.04517221450805664,0.7391953,
7,Concrete,6,0.04536700248718262,0.7391953,
7,Concrete,7,0.04555773735046387,0.7391953,
7,Concrete,8,0.045510053634643555,0.7391953,
7,Concrete,9,0.04503583908081055,0.7391953,
8,Concrete,0,0.05219912528991699,0.79237515,
8,Concrete,1,0.05198502540588379,0.79237515,
8,Concrete,2,0.05190730094909668,0.79237515,
8,Concrete,3,0.052460432052612305,0.79237515,
8,Concrete,4,0.05190396308898926,0.79237515,
8,Concrete,5,0.05179953575134277,0.79237515,
8,Concrete,6,0.051848649978637695,0.79237515,
8,Concrete,7,0.05189871788024902,0.79237515,
8,Concrete,8,0.05185437202453613,0.79237515,
8,Concrete,9,0.05150246620178223,0.79237515,
9,Concrete,0,0.05857539176940918,0.86358887,
9,Concrete,1,0.05868816375732422,0.86358887,
9,Concrete,2,0.05872178077697754,0.86358887,
9,Concrete,3,0.058458566665649414,0.86358887,
9,Concrete,4,0.060278892517089844,0.86358887,
9,Concrete,5,0.05864763259887695,0.86358887,
9,Concrete,6,0.05833029747009277,0.86358887,
9,Concrete,7,0.05860137939453125,0.86358887,
9,Concrete,8,0.05836176872253418,0.86358887,
9,Concrete,9,0.059716224670410156,0.86358887,
10,Concrete,0,0.06467509269714355,0.96118826,
10,Concrete,1,0.0643768310546875,0.96118826,
10,Concrete,2,0.0644676685333252,0.96118826,
10,Concrete,3,0.06456255912780762,0.96118826,
10,Concrete,4,0.0646829605102539,0.96118826,
10,Concrete,5,0.06460714340209961,0.96118826,
10,Concrete,6,0.06450366973876953,0.96118826,
10,Concrete,7,0.06459569931030273,0.96118826,
10,Concrete,8,0.06457996368408203,0.96118826,
10,Concrete,9,0.06415176391601562,0.96118826,
11,Concrete,0,0.07149767875671387,1.0757002,
11,Concrete,1,0.07105207443237305,1.0757002,
11,Concrete,2,0.09547781944274902,1.0757002,
11,Concrete,3,0.08459138870239258,1.0757002,
11,Concrete,4,0.07077264785766602,1.0757002,
11,Concrete,5,0.07097244262695312,1.0757002,
11,Concrete,6,0.07083845138549805,1.0757002,
11,Concrete,7,0.07091593742370605,1.0757002,
11,Concrete,8,0.07106828689575195,1.0757002,
11,Concrete,9,0.07095170021057129,1.0757002,
12,Concrete,0,0.07755827903747559,1.2254319,
12,Concrete,1,0.07729434967041016,1.2254319,
12,Concrete,2,0.07739758491516113,1.2254319,
12,Concrete,3,0.0773768424987793,1.2254319,
12,Concrete,4,0.0771324634552002,1.2254319,
12,Concrete,5,0.07712173461914062,1.2254319,
12,Concrete,6,0.08179259300231934,1.2254319,
12,Concrete,7,0.07691407203674316,1.2254319,
12,Concrete,8,0.07704877853393555,1.2254319,
12,Concrete,9,0.0769493579864502,1.2254319,
13,Concrete,0,0.08431220054626465,1.4218727,
13,Concrete,1,0.08424639701843262,1.4218727,
13,Concrete,2,0.08504557609558105,1.4218727,
13,Concrete,3,0.08864974975585938,1.4218727,
13,Concrete,4,0.08878135681152344,1.4218727,
13,Concrete,5,0.08907938003540039,1.4218727,
13,Concrete,6,0.08953595161437988,1.4218727,
13,Concrete,7,0.08861207962036133,1.4218727,
13,Concrete,8,0.08842873573303223,1.4218727,
13,Concrete,9,0.08814811706542969,1.4218727,
14,Concrete,0,0.09140777587890625,1.6918312,
14,Concrete,1,0.09124445915222168,1.6918312,
14,Concrete,2,0.09080743789672852,1.6918312,
14,Concrete,3,0.09219598770141602,1.6918312,
14,Concrete,4,0.09048700332641602,1.6918312,
14,Concrete,5,0.09013795852661133,1.6918312,
14,Concrete,6,0.0910634994506836,1.6918312,
14,Concrete,7,0.09024930000305176,1.6918312,
14,Concrete,8,0.09051346778869629,1.6918312,
14,Concrete,9,0.09041714668273926,1.6918312,
15,Concrete,0,0.09668993949890137,2.0641313,
15,Concrete,1,0.09632301330566406,2.0641313,
15,Concrete,2,0.09658265113830566,2.0641313,
15,Concrete,3,0.09644055366516113,2.0641313,
15,Concrete,4,0.09637331962585449,2.0641313,
15,Concrete,5,0.09662938117980957,2.0641313,
15,Concrete,6,0.09621405601501465,2.0641313,
15,Concrete,7,0.0960683822631836,2.0641313,
15,Concrete,8,0.09627127647399902,2.0641313,
15,Concrete,9,0.09642148017883301,2.0641313,
16,Concrete,0,0.10315322875976562,2.5785747,
16,Concrete,1,0.10321974754333496,2.5785747,
16,Concrete,2,0.10299992561340332,2.5785747,
16,Concrete,3,0.10322046279907227,2.5785747,
16,Concrete,4,0.1033182144165039,2.5785747,
16,Concrete,5,0.10294914245605469,2.5785747,
16,Concrete,6,0.10298538208007812,2.5785747,
16,Concrete,7,0.10308527946472168,2.5785747,
16,Concrete,8,0.10300588607788086,2.5785747,
16,Concrete,9,0.1027231216430664,2.5785747,
17,Concrete,0,0.11093020439147949,3.290559,
17,Concrete,1,0.110748291015625,3.290559,
17,Concrete,2,0.11058926582336426,3.290559,
17,Concrete,3,0.11052060127258301,3.290559,
17,Concrete,4,0.11164999008178711,3.290559,
17,Concrete,5,0.11074209213256836,3.290559,
17,Concrete,6,0.11012148857116699,3.290559,
17,Concrete,7,0.10988140106201172,3.290559,
17,Concrete,8,0.11411523818969727,3.290559,
17,Concrete,9,0.11601591110229492,3.290559,
18,Concrete,0,0.11674761772155762,4.26247,
18,Concrete,1,0.12385082244873047,4.26247,
18,Concrete,2,0.12185215950012207,4.26247,
18,Concrete,3,0.12374067306518555,4.26247,
18,Concrete,4,0.12199282646179199,4.26247,
18,Concrete,5,0.12230777740478516,4.26247,
18,Concrete,6,0.12241458892822266,4.26247,
18,Concrete,7,0.1230781078338623,4.26247,
18,Concrete,8,0.12412571907043457,4.26247,
18,Concrete,9,0.12296915054321289,4.26247,
19,Concrete,0,0.1239314079284668,5.5094285,
19,Concrete,1,0.12597298622131348,5.5094285,
19,Concrete,2,0.12305378913879395,5.5094285,
19,Concrete,3,0.12401819229125977,5.5094285,
