Horizon,Num_Steps,Time_Mean,Time_Std,Volume_Mean,Volume_Std,Speedup_vs_Concrete,Slowdown_vs_SingleSymbolic
2,1,0.018479585647583008,0.000872776134615409,0.3606698,0.0,1.0494897366757407,0.9203114684803207
3,1,0.03506770133972168,0.00017235187231334382,0.41580692,0.0,0.5471912083250048,0.9891990482249718
3,2,0.019094276428222656,8.067915623834075e-05,0.46213564,0.0,1.0049471076526586,0.5386164290143425
4,1,0.05882785320281982,9.328216104416145e-05,0.41677848,0.0,0.43574520582033294,0.9928396508308741
4,2,0.0363250732421875,0.0004590873059112464,0.49799356,2.9802322e-08,0.7056821284550114,0.613059478982494
4,3,0.028457283973693848,0.004958852886689189,0.55222374,0.0,0.9007871245030727,0.48027453571402706
5,1,0.08981974124908447,0.00039867085620971115,0.34565666,0.0,0.3577244577235818,1.011460748005303
5,2,0.047475433349609374,0.00027630189545045354,0.5609673,5.9604645e-08,0.6767862021309078,0.534621194181644
5,3,0.04148378372192383,0.0025807008310299202,0.5651578,5.9604645e-08,0.7745368273680484,0.4671491849114516
6,1,0.12517709732055665,0.0003643430599829227,0.24468522,1.4901161e-08,0.29776100754470025,1.0340218530160157
6,2,0.07418220043182373,0.0016143118502895395,0.43408147,0.0,0.5024501619353435,0.6127799573023264
6,3,0.054529881477355956,0.0007762826151283414,0.53531,5.9604645e-08,0.6835308937021594,0.4504425353910146
6,5,0.038682961463928224,0.0001441087746255866,0.6868816,0.0,0.9635471848360628,0.3195395032259589
7,1,0.1646496295928955,0.0010607774347757952,0.18005416,0.0,0.28008808692154225,0.991953803568353
7,2,0.07819366455078125,0.0005351863156607313,0.46213347,2.9802322e-08,0.5897715630793249,0.47108823237487685
7,3,0.06133434772491455,0.0007483587809501921,0.5655676,5.9604645e-08,0.7518853868283948,0.369517014192774
7,5,0.0509606122970581,0.0011821191986517991,0.6466237,0.0,0.9049420265242162,0.3070190520636324
8,1,0.21530263423919677,0.006239016395995669,0.19914052,1.4901161e-08,0.24122305352104942,1.0131704517125322
8,2,0.13012373447418213,0.03347138241417026,0.3421976,0.0,0.3991274848679455,0.6123358559991419
8,3,0.07288579940795899,0.0005961521894119512,0.5531775,5.9604645e-08,0.7125662239307673,0.3429857631353908
8,5,0.06855709552764892,0.0005184353759905111,0.58134496,0.0,0.7575577474888655,0.32261576217724597
9,1,0.2639611005783081,0.0010988776684653396,0.21171136,1.4901161e-08,0.22290409346446238,0.9940317678422068
9,2,0.12544651031494142,0.0010994964651261892,0.3881752,2.9802322e-08,0.46902866956261274,0.47240982154112254
9,3,0.1075021505355835,0.0006753840614483196,0.4320137,0.0,0.5473193749255649,0.40483447185818683
9,5,0.09234859943389892,0.00012169718760470305,0.50831616,5.9604645e-08,0.637129422589722,0.34776882408776455
10,1,0.32421538829803465,0.0012428579069800043,0.21374473,0.0,0.19900454304821116,1.0001712236704072
10,2,0.18925883769989013,0.035248282199754365,0.2820232,0.0,0.3409105539354487,0.5838441052610752
10,3,0.11517744064331055,0.0007978912463626447,0.48874965,2.9802322e-08,0.5601820533350776,0.3553105926037994
10,5,0.09373488426208496,0.0073871873691505035,0.6228188,0.0,0.6883278910021199,0.28916250516410735
11,2,0.1857168197631836,0.0009550765505188512,0.3199187,2.9802322e-08,0.4028382721006972,
11,3,0.1266956329345703,0.0009017916802785445,0.50102675,5.9604645e-08,0.590500564546481,
11,5,0.09809117317199707,0.0005208540407821206,0.70048666,0.0,0.7626969925444347,
12,2,0.24840989112854003,0.0005419704290186236,0.23087056,1.4901161e-08,0.31262283970559357,
12,3,0.1802982807159424,0.003024881400104458,0.35935313,0.0,0.4307229401588784,
12,5,0.1098698616027832,0.0010066753806137238,0.72528327,0.0,0.7068235496311419,
13,2,0.25738089084625243,0.003086787880757303,0.25816506,2.9802322e-08,0.33990073677181176,
13,3,0.1861295223236084,0.0013931937997724946,0.4092246,2.9802322e-08,0.47001654190851655,
13,5,0.12880029678344726,0.00088703426617944,0.7126136,0.0,0.6792216836015043,
14,2,0.3316377878189087,0.002168318039612003,0.19566736,1.4901161e-08,0.2739506985565745,
14,3,0.19957489967346193,0.001930003074301037,0.42978254,0.0,0.4552296094819382,
14,5,0.15187268257141112,0.00072077017619516,0.6763796,0.0,0.598214254877785,
15,2,0.3394599437713623,0.00161568626072656,0.21688953,0.0,0.28398462647304934,
15,3,0.2678539752960205,0.0014252260954815592,0.26903537,0.0,0.35990283596849376,
15,5,0.18100121021270751,0.001110985546519444,0.58457124,5.9604645e-08,0.5326008882547495,
16,2,0.4409458875656128,0.03468138435877947,0.17977105,0.0,0.2337385198315336,
16,3,0.28055384159088137,0.005558243852898182,0.3159222,2.9802322e-08,0.3673663440177896,
16,5,0.18946094512939454,0.002381848591120539,0.6875433,0.0,0.5439962257920652,
17,2,0.443357253074646,0.010333895030468247,0.20790425,0.0,0.25156112275325687,
17,3,0.290276026725769,0.003496144913408397,0.3529282,0.0,0.38422548917422084,
17,5,0.2023085355758667,0.0024043793311696285,0.7471465,5.9604645e-08,0.5512938346708213,
18,2,0.5366689682006835,0.0027324725745915784,0.1730819,0.0,0.22790202442272448,
18,3,0.3880300760269165,0.03536135955386323,0.22419663,0.0,0.3152022274925575,
18,5,0.22105805873870848,0.006133788831306988,0.7888589,0.0,0.5532842593282655,
19,2,0.5484814167022705,0.00975076507573281,0.19626775,1.4901161e-08,0.22985677273849167,
19,3,0.38977746963500975,0.007275732890965093,0.2665786,2.9802322e-08,0.3234465257016383,
19,5,0.25013535022735595,0.009031439470913602,0.7871157,0.0,0.5040157987890506,
